FECHA ;BANCO;MONTO TOTAL;TOTAL OPERACIONES
2019Q04;BANRURAL;8788.724128;4509047.333
2020Q01;ATLANTIDA;4196.667779;3571512
2020Q01;OCCIDENTE;642.8521302;459509
2020Q01;TRABAJADORES;399.083718;584631
2020Q01;FICENSA;66.52749574;99359.66667
2020Q01;BANHCAFE;59.86888395;86566.33333
2020Q01;BANCO DEL PAIS;2336.575819;1479631.333
2020Q01;FICOHSA;6003.88052;5684212.333
2020Q01;LAFISE;0;0
2020Q01;DAVIVIENDA;361.6193955;234713.6667
2020Q01;PROMERICA;2912.72532;2160514.667
2020Q01;AZTECA;114.7385243;210121.3333
2020Q01;POPULAR;0;0
2020Q01;BAC CREDOMATIC;25414.90209;23342691
2020Q01;BANRURAL;1761.417586;1520382
2020Q02;ATLANTIDA;8729.41402;7148848
2020Q02;OCCIDENTE;1358.326672;944379.6667
2020Q02;TRABAJADORES;807.0851335;1152228.333
2020Q02;FICENSA;145.2415446;200425.3333
2020Q02;BANHCAFE;138.3598164;204513
2020Q02;BANCO DEL PAIS;5090.18779;2931529.667
2020Q02;FICOHSA;13335.96302;11613266.33
2020Q02;LAFISE;0;0
2020Q02;DAVIVIENDA;726.4357194;468981
2020Q02;PROMERICA;6726.098796;5032260.667
2020Q02;AZTECA;227.862869;398987
2020Q02;POPULAR;0;0
2020Q02;BAC CREDOMATIC;54298.50171;45617464.33
2020Q02;BANRURAL;3812.792585;3012788.667
